,accuracy,loss,val_accuracy,val_loss
0,0.30724069476127625,1.9463064670562744,0.6328125,1.2345123291015625
1,0.53125,1.5758024454116821,0.6484375,1.2185475826263428
2,0.6487280130386353,1.0870331525802612,0.765625,0.865381121635437
3,0.875,0.7168605327606201,0.75,0.8878463506698608
4,0.76171875,0.7743471264839172,0.8125,0.6888457536697388
5,0.7666666507720947,0.6127774119377136,0.83984375,0.6719926595687866
6,0.8238747715950012,0.6073148846626282,0.859375,0.5409076809883118
7,0.71875,0.631822943687439,0.84765625,0.5746286511421204
8,0.8219178318977356,0.561351478099823,0.83203125,0.5357071757316589
9,0.8125,0.41574543714523315,0.83984375,0.5216203331947327
10,0.8630136847496033,0.4385632276535034,0.8515625,0.48673495650291443
11,0.75,0.7244913578033447,0.8359375,0.4791197180747986
12,0.8688845634460449,0.43511104583740234,0.87109375,0.42780205607414246
13,0.90625,0.3454515337944031,0.85546875,0.4561119079589844
14,0.8698630332946777,0.3830204904079437,0.87109375,0.4195367991924286
15,0.875,0.262678325176239,0.86328125,0.41218292713165283
16,0.8864970803260803,0.34214121103286743,0.85546875,0.42161086201667786
17,0.84375,0.48414239287376404,0.859375,0.4103982448577881
18,0.8874755501747131,0.3385355472564697,0.85546875,0.4240976572036743
19,0.84375,0.4738479256629944,0.86328125,0.3840520679950714
